,counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
1056,1056,-676,331,-8601,299,228,243,392433327,30036059,500219729,1.023438,3091,-12.092406,60.272034
1057,1057,-676,331,-8601,299,228,243,392433327,30036059,500219729,1.023438,3091,-12.092406,60.272034
1058,1058,-677,309,-8516,210,142,82,392433328,30036058,500219728,1.027344,3096,0.0,40.254181
1059,1059,-677,309,-8516,210,142,82,392433328,30036058,500219728,1.027344,3096,0.0,40.254181
1060,1060,-677,309,-8516,210,142,82,392433328,30036058,500219728,1.027344,3096,0.0,40.254181
1061,1061,-638,291,-8385,259,-98,-16,392433329,30036056,500219727,1.027344,3054,2.994337,39.799023
1062,1062,-638,291,-8385,259,-98,-16,392433329,30036056,500219727,1.027344,3054,2.994337,39.799023
1063,1063,-638,291,-8385,259,-98,-16,392433329,30036056,500219727,1.027344,3054,2.994337,39.799023
1064,1064,-594,283,-8197,380,-625,-707,392433329,30036054,500219727,1.023438,3045,65.483643,35.166523
1065,1065,-594,283,-8197,380,-625,-707,392433329,30036054,500219727,1.023438,3045,65.483643,35.166523
1066,1066,-594,283,-8197,380,-625,-707,392433329,30036054,500219727,1.023438,3045,65.483643,35.166523
1067,1067,-545,381,-7949,395,152,-292,392433330,30036053,500219727,1.023438,3110,8.904932,39.453098
1068,1068,-545,381,-7949,395,152,-292,392433330,30036053,500219727,1.023438,3110,8.904932,39.453098
1069,1069,-545,381,-7949,395,152,-292,392433330,30036053,500219727,1.023438,3110,8.904932,39.453098
1070,1070,-441,446,-7582,584,454,-163,392433330,30036051,500219727,1.03125,3137,62.489315,50.75721
1071,1071,-441,446,-7582,584,454,-163,392433330,30036051,500219727,1.03125,3137,62.489315,50.75721
1072,1072,-441,446,-7582,584,454,-163,392433330,30036051,500219727,1.03125,3137,62.489315,50.75721
1073,1073,-431,444,-7123,344,1081,6,392433331,30036048,500219728,1.039062,3116,-12.262259,43.009403
1074,1074,-431,444,-7123,344,1081,6,392433331,30036048,500219728,1.039062,3116,-12.262259,43.009403
1075,1075,-431,444,-7123,344,1081,6,392433331,30036048,500219728,1.039062,3116,-12.262259,43.009403
1076,1076,-428,432,-6712,58,868,626,392433331,30036046,500219728,1.042969,3149,49.355865,0.0
1077,1077,-428,432,-6712,58,868,626,392433331,30036046,500219728,1.042969,3149,49.355865,0.0
1078,1078,-428,432,-6712,58,868,626,392433331,30036046,500219728,1.042969,3149,49.355865,0.0
1079,1079,-455,356,-6314,306,531,-152,392433331,30036045,500219729,1.046875,3159,44.221935,16.327024
1080,1080,-455,356,-6314,306,531,-152,392433331,30036045,500219729,1.046875,3159,44.221935,16.327024
